Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Dardemus | Tipo=Creature | Set=DOP | EfeitoOficial=Intimidate: Courage 10. | Funcionamento=Efeito oficial: "Intimidate: Courage 10.". Em regras, resolve na janela definida pelo texto, gerando: intimidate. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:intimidate:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:courage,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Decrescendo | Tipo=Mugic | Set=DOP | EfeitoOficial=Deal 5 damage to target Creature. | Funcionamento=Efeito oficial: "Deal 5 damage to target Creature.". Em regras, resolve na janela definida pelo texto, gerando: dealDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:5,adicional:mugic_deal:5,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Degenervate | Tipo=Attack | Set=DOP | EfeitoOficial=Water: Opposing Creature loses 25 to all Disciplines. Your engaged Creature loses Water. | Funcionamento=Efeito oficial: "Water: Opposing Creature loses 25 to all Disciplines. Your engaged Creature loses Water.". Em regras, resolve na resolução do ataque, gerando: conditionalStatModifier, removeElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:N/A,combate:N/A,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=creature:self, creature:engaged | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Delerium | Tipo=Attack | Set=DOP | EfeitoOficial=Stat Check Wisdom 50: Deal 5 damage. | Funcionamento=Efeito oficial: "Stat Check Wisdom 50: Deal 5 damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Wisdom 50,challenge:N/A,elemento:N/A,disciplina:wisdom,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Diamond of Vlaric | Tipo=Battlegear | Set=DOP | EfeitoOficial=Sacrifice Diamond of Vlaric: equipped Creature gains Earth until the end of combat. | Funcionamento=Efeito oficial: "Sacrifice Diamond of Vlaric: equipped Creature gains Earth until the end of combat.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: gainElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:Sacrifice Diamond of Vlaric,sacrificio:sim,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Discord of Disarming | Tipo=Mugic | Set=DOP | EfeitoOficial=Destroy target Battlegear. | Funcionamento=Efeito oficial: "Destroy target Battlegear.". Em regras, resolve na janela definida pelo texto, gerando: destroyBattlegear. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:battlegear:any, battlegear:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=battlegear:any, battlegear:target | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Donmar | Tipo=Creature | Set=DOP | EfeitoOficial=MC: Heal 10 damage to target Creature. | Funcionamento=Efeito oficial: "MC: Heal 10 damage to target Creature.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: healDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Doors of the Deepmines | Tipo=Location | Set=DOP | EfeitoOficial=At the beginning of combat, Creatures with Water gain 10 Energy. | Funcionamento=Efeito oficial: "At the beginning of combat, Creatures with Water gain 10 Energy.". Em regras, resolve no início do combate, gerando: beginCombatEnergy. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:energy,combate:inicio_do_combate,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Dractyl | Tipo=Creature | Set=DOP | EfeitoOficial=Range. Swift 1. | Funcionamento=Efeito oficial: "Range. Swift 1.". Em regras, resolve na janela definida pelo texto, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Dragon Pulse | Tipo=Battlegear | Set=DOP | EfeitoOficial=Equipped Creature has an additional 25 Courage. | Funcionamento=Efeito oficial: "Equipped Creature has an additional 25 Courage.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:courage,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Drakness | Tipo=Creature | Set=DOP | EfeitoOficial=Mugic played by Creatures you control that deal damage deal an additional 5 damage. | Funcionamento=Efeito oficial: "Mugic played by Creatures you control that deal damage deal an additional 5 damage.". Em regras, resolve na janela definida pelo texto, gerando: mugicDamageModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:mugicDamageModifier:5,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Dranakis Threshold | Tipo=Location | Set=DOP | EfeitoOficial=Mugic and activated abilities cannot be played. | Funcionamento=Efeito oficial: "Mugic and activated abilities cannot be played.". Em regras, resolve na janela definida pelo texto, gerando: disableMugicAndActivated. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:altera_habilidades,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:impõe_restricoes} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Ektospasm | Tipo=Attack | Set=DOP | EfeitoOficial=Stat Check Power 50: Deal 5 damage. | Funcionamento=Efeito oficial: "Stat Check Power 50: Deal 5 damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Power 50,challenge:N/A,elemento:N/A,disciplina:power,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Ekuud | Tipo=Creature | Set=DOP | EfeitoOficial=Hive: Ekuud has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play. | Funcionamento=Efeito oficial: "Hive: Ekuud has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.". Em regras, resolve na janela definida pelo texto, gerando: hiveEnergyPerControlledCreatureType. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Elixir of Tenacity | Tipo=Battlegear | Set=DOP | EfeitoOficial=Equipped Creature has an additional 10 Courage and an additional 10 Speed. If equipped Creature has at least 50 Power, it has an additional 10 Energy. | Funcionamento=Efeito oficial: "Equipped Creature has an additional 10 Courage and an additional 10 Speed. If equipped Creature has at least 50 Power, it has an additional 10 Energy.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:courage,speed,power,energy,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Ember Flourish | Tipo=Mugic | Set=DOP | EfeitoOficial=Heal 15 damage to target Creature with Air or Fire. | Funcionamento=Efeito oficial: "Heal 15 damage to target Creature with Air or Fire.". Em regras, resolve na janela definida pelo texto, gerando: healDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:air,fire,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Ember Swarm | Tipo=Attack | Set=DOP | EfeitoOficial=Fire: Opposing engaged Creature loses 25 Wisdom. | Funcionamento=Efeito oficial: "Fire: Opposing engaged Creature loses 25 Wisdom.". Em regras, resolve na resolução do ataque, gerando: conditionalStatModifier. | Dano={base:5,fire:5,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:wisdom,combate:N/A,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Evaporize | Tipo=Attack | Set=DOP | EfeitoOficial=Challenge Courage 15: Heal 10 damage. | Funcionamento=Efeito oficial: "Challenge Courage 15: Heal 10 damage.". Em regras, resolve na resolução do ataque, gerando: healDamage, statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:Courage 15,elemento:N/A,disciplina:courage,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Everrain | Tipo=Location | Set=DOP | EfeitoOficial=Water attacks deal an additional 5 damage. Damage dealt by Earth attacks is reduced by 5. | Funcionamento=Efeito oficial: "Water attacks deal an additional 5 damage. Damage dealt by Earth attacks is reduced by 5.". Em regras, resolve na janela definida pelo texto, gerando: attackDamageModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:attackDamageModifier:5,attackDamageModifier:5,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,earth,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Eye of the Maelstrom | Tipo=Location | Set=DOP | EfeitoOficial=When this becomes the active Location, each player discards a Mugic Card. | Funcionamento=Efeito oficial: "When this becomes the active Location, each player discards a Mugic Card.". Em regras, resolve quando a Location se torna ativa, gerando: discardMugicFromEachPlayer. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:ao_ativar_location,alvo:location:active_or_target, jogadores:ambos} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=when_location_becomes_active | Alvos=location:active_or_target, jogadores:ambos | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar,aplicacao_automatica_simetrica | Duracao=efeito_pontual_ao_entrar_location
Carta=Fanfare of the Vanishing | Tipo=Mugic | Set=DOP | EfeitoOficial=Target Creature gains Invisibility: Strike 15. | Funcionamento=Efeito oficial: "Target Creature gains Invisibility: Strike 15.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:15,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:self, creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:self, creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
